"","Duration..in.seconds.","Q291","MCQ_1","MCQ_2","MCQ_3","MCQ_4","MCQ_5","MCQ_6","MCQ_7","MCQ_8","MCQ_9","MCQ_10","MCQ_11","MCQ_12","MCQ_13","MCQ_14","MCQ_15","MCQ_16","MCQ_17","MCQ_18","MCQ_19","MCQ_20","MCQ_21","MCQ_22","MCQ_23","MCQ_24","MCQ_25","MCQ_26","MCQ_27","COVID_DoG_Questions.1_1","COVID_DoG_Questions.1_2","COVID_DoG_Questions.1_3","COVID_DoG_Questions.1_4","COVID_DoG_Questions.1_5","COVID_DoG_Questions.1_6","COVID_DoG_Questions.2_1","COVID_DoG_Questions.2_2","COVID_DoG_Questions.2_3","COVID_DoG_Questions.2_4","COVID_DoG_Questions.2_5","COVID_DoG_Questions.2_6","PandemicLengthExpect.1_1","PandemicLengthExpect.2_1","COVID_DoG_Questions.1","COVID_DoG_Questions.2","COVID_DoG_Questions.3","COVID_DoG_Questions.4","COVID_DoG_Questions.5","COVID_DoG_Questions.6","PandemicLengthExpect.1","SocialNorms_Family_1","SocialNorms_Family_2","SocialNorms_Family_3","SocialNorms_Friends_1","SocialNorms_Friends_2","SocialNorms_Friends_3","SocialNorms_Stranger_1","SocialNorms_Stranger_2","SocialNorms_Stranger_3","PerceivedRisk_1","PerceivedRisk_2","PerceivedRisk_3","PerceivedRisk_4","PerceivedRisk_5","PerceivedRisk_6","PerceivedValue_1","PerceivedValue_2","PerceivedValue_3","PerceivedValue_4","PerceivedValue_5","PerceivedValue_6","GCS_1","GCS_2","GCS_3","attentioncheck_1","GCS_4","GCS_5","GCS_6","IUS_1","IUS_2","IUS_3","IUS_4","IUS_5","IUS_6","IUS_7","IUS_8","IUS_9","IUS_10","IUS_11","IUS_12","MFQpart1_1","MFQpart1_2","MFQpart1_3","MFQpart1_4","MFQpart1_5","MFQpart1_6","MFQpart1_7","MFQpart1_8","MFQpart1_9","MFQpart1_10","MFQpart1_11","MFQpart1_12","MFQpart1_13","MFQpart1_14","MFQpart1_15","MFQpart1_16","MFQ_part2_1","MFQ_part2_2","MFQ_part2_3","MFQ_part2_4","MFQ_part2_5","MFQ_part2_6","MFQ_part2_7","MFQ_part2_8","MFQ_part2_9","MFQ_part2_10","MFQ_part2_11","MFQ_part2_12","MFQ_part2_13","MFQ_part2_14","MFQ_part2_15","MFQ_part2_16","Disgust_1","Disgust_2","Disgust_3","Disgust_4","Disgust_5","Disgust_6","Disgust_7","Disgust_8","Disgust_9","Disgust_10","Disgust_11","Disgust_12","Disgust_13","Disgust_14","Disgust_15","Disgust_16","Disgust_17","Disgust_18","Disgust_19","Disgust_20","Disgust_21","SDRS.5_Q1","SDRS.5_Q2","SDRS.5_Q3","SDRS.5_Q4","SDRS.5_Q5","Worries_1","Worries_2","Worries_3","Worries_4","Worries_5","Worries_6","Worries_7","Worries_8","Worries_9","Worries_10","Worries_11","Worries_12","Worries_13","Worries_14","Worries_15","Worries_16","Worries_17","Worries_18","Worries_19","Worries_20","Worries_21","Worries_22","Worries_23","Worries_24","Problems_1","Problems_2","Problems_3","Problems_4","Problems_5","Problems_6","CheckingBeh_1","CheckingBeh_2","CheckingBeh_3","CheckingBeh_4","CheckingBeh_5","CheckingBeh_6","Impacts_financial1","Impacts_financial2","Impacts_financial3","Impacts_resource1","Impacts_resource2","Impacts_resource3","Impacts_psychology1","Impacts_psychology2","Impacts_psychology3","PersonalDiagnoses_1","PersonalDiagnoses_2","PersonalDiagnoses_3","Proximity_1","attentioncheck_2","Proximity_2","News_1","News_2","Age","Gender","MaritalStatus","Ethnicity","Race","Nationality","Education","Occupation","Measure2_2","Measure2_3","Measure2_4","Measure5_1","Measure5_4","Measure5_5","Measure5_6","Measure5_7","Measure5_8","Measure5_9","Measure5_10","Measure5_11","Measure5_12","Measure5_13","Measure5_14"
"64",885,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","10","10","9","6","6","5","3","3","3","3","3","3","3","11",300,300,270,180,180,150,330,"2","2","2","2","2","2","1","1","2","2","2","2","2","1","1","3","3","2","2","3","3","4","5","2","4","5","4","3","3","4","1","4","2","1","1","5","3","1","5","2","5","5","2","5","4","1","5","5","2","2","1","6","6","2","6","2","5","4","4","5","2","6","6","5","1","6","2","6","1","2","4","3","3","3","5","4","3","3","4","5","5","4","4","3","3","4","4","3","4","5","3","5","4","2","5","5","4","2","2","1","1","2","1","1","1","1","1","1","1","1","1","2","2","1","1","2","3","2","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","1","1","7","1","1","7","1","1","1","1","3","1","5","2","50","2","2","2","5","American","4","ODMS Coordinator","2","4","1","10","49","80","79","60","79","66","70","72","77","90","68"
"65",796,"1","1","2","1","2","2","1","2","2","1","1","2","1","1","2","2","1","1","2","2","1","2","1","2","1","2","1","2","2","2","2","2","2","2","4","4","4","4","4","4","4","2",730,730,730,730,730,730,730,"1","1","1","1","1","1","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","4","3","3","1","2","5","2","5","1","1","2","4","2","1","5","3","6","6","2","2","2","1","6","6","2","1","3","6","6","1","6","1","6","6","5","2","5","6","6","6","2","1","4","5","6","2","2","4","6","4","6","6","4","5","6","5","4","6","6","5","6","6","5","6","6","5","6","6","5","1","5","4","4","2","5","5","5","6","5","5","3","3","3","2","4","2","2","4","4","1","2","5","5","5","5","5","5","2","3","3","4","3","2","3","1","3","3","3","1","5","6","1","1","7","7","1","3","5","1","1","1","1","1","3","1","7","7","66","2","1","2","5","USA","5","educator","4","1","4","100","3","50","1","100","1","50","20","100","26","70","77"
"66",593,"1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","7","7","4","7","7","7","3","3","3","3","3","3","3","7",210,210,120,210,210,210,210,"2","1","3","2","1","3","2","1","2","3","3","3","3","3","2","3","1","2","2","2","2","6","5","4","4","4","3","4","5","5","5","5","5","5","5","5","5","5","5","5","6","6","2","2","3","1","6","6","3","3","3","6","6","2","5","6","5","6","5","6","5","5","4","6","4","4","4","5","1","5","6","6","6","6","6","6","4","5","6","6","6","6","5","5","6","6","6","6","6","6","6","6","6","4","2","1","1","5","4","3","2","6","5","3","2","1","1","1","5","1","5","5","5","3","4","5","5","4","5","3","3","4","1","1","3","2","1","1","1","1","3","4","1","1","7","4","1","6","4","2","1","3","3","1","1","7","1","3","1","1","1","60","2","3","2","5","USA","5","office assistant","1","5","1","100","100","52","100","1","50","100","100","100","71","100","100"
"67",673,"1","1","2","2","2","2","1","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","1","2","1","2","1","2","1","3","7","4","3","3","1","4","3","2","2","2","4","2",1,1095,210,28,21,21,730,"4","4","6","6","6","6","4","4","4","1","2","1","1","1","1","3","3","2","3","3","3","2","2","2","4","3","4","4","1","3","1","3","1","1","1","3","1","1","4","1","5","6","5","6","5","1","5","6","4","1","5","6","6","4","6","1","5","6","4","5","6","6","6","6","2","1","6","6","4","5","1","1","5","4","6","6","1","6","6","1","6","6","6","4","6","6","6","6","6","6","6","1","6","2","5","5","5","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6","1","1","7","1","1","4","1","1","1","1","3","1","1","1","49","2","2","2","2","American","5","IT","1","5","1","100","50","75","1","10","1","100","100","69","99","100","100"
"68",774,"1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","1","2","3","2","7","7","9","2","4","4","3","3","2","4","4","3",1095,730,210,210,63,730,1095,"1","1","1","1","1","1","1","2","3","3","3","2","1","1","3","1","2","2","3","3","1","6","4","2","4","3","5","2","4","5","5","4","5","3","4","5","4","4","3","3","6","5","2","5","3","1","6","6","2","3","3","6","6","4","6","2","6","6","6","5","4","6","6","6","4","2","4","5","6","4","5","2","4","2","2","5","2","3","5","1","2","5","1","5","6","1","5","6","2","4","5","6","6","5","4","3","2","3","4","3","3","3","3","3","4","7","4","4","4","4","1","1","1","1","1","1","1","3","4","4","4","2","2","2","3","3","2","2","4","2","2","2","2","3","7","5","1","5","5","3","4","5","3","1","3","3","5","3","5","3","3","52","1","2","1","5","usa","6","dean","2","2","1","50","31","100","26","66","65","66","50","70","49","48","88"
"69",928,"1","1","2","1","2","2","1","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","1","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","3","11",1,1,1,1,1,1,330,"6","6","6","6","7","6","2","3","2","2","2","1","1","1","1","2","3","3","3","3","3","4","5","4","4","4","3","4","1","1","1","1","1","1","1","1","1","1","1","1","3","5","1","4","4","1","3","5","4","1","5","5","5","3","5","2","5","5","5","5","6","6","6","5","4","5","5","2","2","2","4","5","4","5","5","5","1","3","4","2","3","5","3","5","5","5","5","4","5","5","5","1","3","1","5","5","4","2","2","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","6","1","1","6","1","1","7","1","1","1","1","3","1","1","1","57","2","3","2","5","American","3","Cosmetologist","2","4","3","17","87","70","50","30","85","70","79","70","70","80","87"
"70",844,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","2","1","1","1","1","2","1","1","2","7","2","2","7","7","7","3","4","4","3","3","3","4","2",210,730,730,210,210,210,730,"5","2","3","5","2","3","6","6","6","3","3","3","3","3","3","3","3","3","3","3","2","4","1","1","4","4","5","2","5","4","3","4","5","4","5","3","5","5","4","3","6","6","1","1","1","1","6","6","1","1","1","6","6","1","4","1","6","6","1","4","1","6","6","6","1","1","1","5","4","1","1","1","4","2","6","6","1","6","4","1","6","5","5","6","6","1","6","6","6","5","6","3","6","4","2","2","2","5","5","5","5","6","5","5","2","2","4","3","4","2","1","1","1","1","1","1","5","5","5","5","5","5","5","5","5","5","4","5","5","1","3","3","1","1","7","7","1","7","7","1","4","7","1","1","1","1","1","3","1","7","5","36","2","2","2","5","American ","4","Self-Employed Media ","5","1","1","100","51","10","0","100","0","0","0","90","75","75","0"
"71",913,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","2","2","3","3","6","6","4","4","4","4","3","3","3","4","2",730,1095,1095,180,180,120,730,"2","2","2","3","3","3","4","4","4","3","3","3","2","1","1","1","1","1","2","3","3","1","2","1","4","1","6","2","4","5","3","5","5","1","3","3","4","3","5","4","5","6","1","3","1","1","3","6","4","1","1","4","6","5","5","1","1","6","1","4","1","6","6","6","1","2","1","1","1","1","4","1","5","4","6","6","3","1","6","1","6","6","6","6","6","6","6","6","6","5","6","6","6","4","2","1","1","1","4","2","4","3","3","3","2","2","2","3","3","1","1","1","1","1","1","1","3","2","3","2","2","2","1","1","1","1","1","1","3","2","1","2","1","2","1","1","7","1","1","7","4","4","2","1","1","1","1","3","1","6","3","31","2","1","2","2","American","3","Retail trade","2","1","1","100","39","70","0","29","61","0","0","35","21","4","0"
"72",569,"1","1","2","2","2","2","1","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","2","2","1","2","1","2","3","3","1","1","1","1","3","3","1","1","1","1","3","5",90,90,1,1,1,1,150,"4","4","4","4","4","4","2","2","2","2","2","1","1","1","1","3","2","3","3","3","3","4","4","3","4","4","4","4","3","4","3","4","3","3","3","3","3","3","3","3","4","4","4","5","6","1","5","4","3","3","5","5","6","4","5","6","6","4","5","5","5","6","5","6","3","5","5","5","4","5","3","6","5","5","6","6","5","4","4","6","4","5","6","5","5","6","4","5","6","6","6","6","6","2","4","5","2","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","7","2","2","6","1","1","1","1","1","1","1","3","1","1","1","39","2","2","2","5","USA","5","HOMEMAKER","1","5","3","0","97","84","100","55","54","100","100","100","84","100","100"
"73",901,"1","1","2","2","2","2","1","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","2","2","1","2","1","2","2","2","8","7","5","3","4","4","3","3","3","3","3","9",730,730,240,210,150,90,270,"2","1","2","4","2","2","1","1","1","3","3","3","2","2","1","3","3","3","2","2","2","6","5","5","4","5","3","2","4","4","2","4","5","2","1","3","3","2","3","2","4","5","2","3","4","1","4","5","2","1","4","6","6","3","6","1","5","6","2","4","4","6","6","5","2","2","3","4","3","2","1","1","1","3","5","2","1","3","1","1","3","3","3","3","2","1","4","1","5","5","5","1","2","4","2","4","4","2","2","2","3","2","3","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","1","1","1","1","1","1","2","1","1","1","1","7","7","1","2","2","2","1","1","7","7","1","1","7","3","1","3","2","35","1","1","2","4","American","4","Barista","4","1","1","91","61","40","0","89","90","50","21","96","60","50","70"
"74",863,"1","1","2","2","2","2","1","2","2","1","2","2","2","1","2","2","2","1","2","2","1","2","2","2","1","2","1","2","2","2","2","2","9","5","4","4","4","4","3","3","4","2",730,730,730,730,270,150,730,"1","1","1","1","1","2","1","1","1","3","3","3","2","2","1","2","1","1","1","2","2","6","6","6","4","5","3","5","5","5","2","4","4","2","2","5","5","4","5","5","3","2","2","3","1","1","1","3","2","4","2","4","4","2","3","1","2","5","5","4","1","6","6","4","2","1","1","3","1","1","2","1","3","4","4","4","1","4","4","1","3","3","4","4","3","3","5","4","5","4","4","3","6","5","1","1","2","5","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","2","2","6","6","5","1","1","1","1","1","3","1","2","1","48","2","2","2","5","American ","5","Business analyst ","3","3","1","100","9","50","2","1","41","78","82","52","97","94","79"
"75",847,"1","1","2","2","2","2","1","2","2","1","1","2","1","1","2","2","2","1","2","2","1","2","1","2","1","2","1","2","2","2","2","2","2","1","3","3","3","2","1","1","3","2",60,60,60,14,2,1,60,"4","4","4","4","4","4","5","5","5","2","1","2","1","1","1","2","1","2","2","2","2","5","5","5","4","5","2","5","2","2","1","3","2","1","1","3","2","1","2","1","3","4","3","2","2","1","4","4","2","2","2","4","4","2","2","2","4","4","4","3","3","5","6","4","5","3","3","5","3","3","3","3","3","5","5","5","3","3","6","5","3","5","3","2","6","6","3","4","6","6","6","6","4","3","4","4","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","1","1","3","3","4","3","3","3","1","1","7","1","1","1","1","3","1","2","2","35","5","1","3","7","US","5","Programmer","3","3","3","50","100","50","50","50","75","50","50","100","50","50","50"
"76",702,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","7","2","7","7","7","5","3","4","3","3","3","2","4","2",210,730,210,210,210,35,730,"1","1","2","2","2","2","2","4","3","3","3","2","2","2","1","2","2","2","2","2","2","6","6","4","4","5","5","5","4","4","2","4","3","1","3","4","4","2","3","1","5","4","3","3","3","1","5","5","3","3","4","5","5","3","5","1","6","6","5","4","4","6","6","4","3","4","4","3","3","1","4","2","1","2","3","1","1","2","1","1","3","1","1","2","1","1","2","1","1","2","1","1","3","4","2","1","1","4","5","3","3","3","3","3","3","3","3","1","2","3","1","1","1","1","1","3","3","3","4","3","3","2","1","1","2","1","1","1","3","2","1","2","1","1","7","7","1","3","4","1","1","1","5","1","1","1","1","3","1","4","1","53","1","2","2","5","usa","4","healthcare billing","4","2","1","73","71","68","8","54","17","41","12","76","48","57","38"
"77",661,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","2","1","2","1","2","1","1","1","2","2","3","2","3","7","7","4","4","4","4","3","3","3","8",730,1095,730,1095,210,210,240,"3","2","3","2","2","3","3","3","3","2","3","3","3","2","2","1","1","2","2","2","2","4","3","4","4","3","4","3","4","4","3","3","4","2","3","4","3","3","4","3","4","4","2","4","4","1","5","4","3","2","3","3","3","2","3","3","5","3","4","4","5","5","5","5","4","4","5","4","5","5","4","4","2","5","4","3","3","4","3","5","4","3","4","5","4","6","4","3","5","3","4","4","5","2","4","4","4","2","4","3","4","4","3","4","3","2","4","3","4","4","3","3","3","4","4","3","4","3","4","4","3","4","4","3","3","4","3","3","2","2","1","2","3","2","2","1","2","4","5","4","5","5","4","1","1","1","1","3","1","2","1","46","2","2","2","5","USA","4","Assistant","3","1","1","1","39","37","77","53","54","79","80","53","65","69","53"
"78",651,"1","1","2","2","2","1","1","2","2","1","1","1","2","1","1","1","1","2","2","2","2","1","1","2","2","1","1","1","5","10","4","8","14","8","1","2","1","4","2","3","3","17",5,70,4,2920,98,240,510,"6","4","4","2","5","4","7","6","2","3","3","1","3","3","2","3","2","1","1","3","2","3","5","2","4","3","4","2","2","3","4","2","3","1","4","3","3","2","5","2","3","3","3","3","2","4","2","2","3","2","2","3","2","2","3","3","1","3","2","3","2","2","3","3","1","4","3","3","2","2","1","6","2","3","4","3","2","3","2","4","3","3","5","2","3","3","2","2","3","2","3","3","4","2","2","3","1","4","5","2","4","3","5","2","3","7","4","2","4","3","5","2","4","3","2","2","4","1","4","3","5","3","4","2","4","3","3","5","2","4","3","2","2","4","6","3","5","4","6","6","3","5","4","3","3","3","3","3","2","4","1","30","5","1","2","2","USA","5","Employed","5","3","4","87","62","43","31","76","53","39","69","80","65","40","55"
"79",678,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","4","4","4","3","3","2","3","3","3","3","3","3","3","13",120,120,120,90,90,60,390,"2","2","2","4","4","4","3","3","3","2","2","1","1","1","1","3","2","2","3","3","2","4","5","3","4","5","2","3","2","2","1","2","3","1","1","1","1","1","2","1","5","4","4","4","5","1","5","5","3","5","5","6","3","3","5","5","6","5","5","6","6","6","6","5","2","5","4","3","3","3","2","6","4","3","4","5","1","4","4","5","4","4","4","5","5","5","4","4","4","2","5","6","4","2","4","4","4","2","2","2","3","2","3","2","2","3","3","2","2","2","3","3","3","4","2","3","2","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","7","5","4","4","1","1","5","1","1","1","1","3","1","1","1","70","1","2","2","5","American","6","Patrol officer","1","5","1","6","90","87","94","39","88","92","91","90","84","87","93"
"80",729,"1","1","1","1","2","1","1","1","2","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","1","1","1","2","10","11","6","2","2","4","3","3","3","4","4","3","3","8",300,330,180,730,730,120,240,"2","1","2","3","2","3","4","2","2","3","3","3","3","3","2","3","1","1","1","2","3","3","2","1","4","3","5","3","2","4","1","4","3","1","1","2","1","1","2","1","6","5","1","2","1","1","6","5","3","1","1","6","6","3","5","1","6","6","4","2","1","6","6","5","5","1","1","3","6","3","1","1","3","5","5","4","1","4","2","1","4","6","4","4","6","1","6","6","2","3","5","1","4","4","1","5","2","4","4","3","5","6","5","4","2","1","2","1","3","1","1","1","1","1","1","1","4","3","5","2","2","1","4","3","3","1","1","1","4","3","4","1","1","3","5","4","1","5","5","1","1","3","5","1","1","1","1","3","1","6","3","31","1","2","2","5","American","5","Administrative Manager","4","1","1","100","1","2","10","98","5","60","15","3","1","80","30"
"81",477,"1","1","2","2","2","2","1","2","2","2","1","2","2","1","1","2","2","1","1","2","1","2","1","2","1","2","1","2","2","2","2","2","2","2","4","4","4","4","4","4","4","2",730,730,730,730,730,730,730,"1","1","1","1","1","1","1","1","1","3","3","3","3","2","2","1","1","1","1","1","1","4","5","2","4","4","3","3","5","5","4","4","4","4","4","3","3","4","4","5","6","6","2","2","6","4","6","6","1","1","6","6","6","2","5","1","6","6","1","1","6","6","6","4","1","1","1","5","6","2","2","1","2","1","4","5","1","1","4","2","2","5","3","4","6","1","1","2","5","2","5","1","2","1","5","4","5","1","2","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","6","5","6","3","2","4","4","1","1","1","1","3","1","5","5","20","1","1","2","5","american","3","retail","5","1","1","97","52","14","5","93","3","22","18","88","45","0","1"
"82",666,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","7","8","7","4","2","3","4","1","3","3","3","4","3",210,2555,8,210,120,60,1095,"1","1","7","1","1","7","1","1","1","3","3","1","3","2","1","1","1","3","3","3","3","6","6","6","4","6","6","1","5","5","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","6","4","6","6","1","1","1","6","6","1","6","6","6","6","6","6","6","1","6","1","1","1","1","1","6","1","1","6","1","1","6","1","1","1","1","1","6","1","1","6","1","1","6","1","1","1","1","1","5","5","5","6","5","5","5","8","5","1","5","1","5","5","5","5","5","5","5","5","5","5","5","5","1","1","5","5","5","1","1","1","1","1","1","1","7","1","4","1","1","1","7","7","1","1","1","1","1","3","1","1","1","26","1","1","2","5","american","5","research coordinator","1","5","1","49","100","100","100","0","100","99","100","19","100","100","100"
"83",962,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","1","1","1","2","7","7","7","9","4","4","3","3","3","3","3","3","3","10",210,210,210,270,120,120,300,"2","1","2","2","1","2","2","1","1","3","3","2","3","2","1","3","3","1","3","2","2","5","4","4","4","4","3","4","2","3","1","2","2","1","2","3","2","1","4","2","4","4","2","4","5","1","3","3","3","4","5","5","4","3","5","1","4","5","5","5","6","6","6","5","4","4","5","3","1","3","5","3","2","1","4","2","1","3","2","1","3","3","2","4","2","1","4","3","3","4","1","1","4","2","1","2","2","2","4","2","1","2","1","3","1","2","1","1","2","1","1","2","1","1","1","2","2","1","2","1","1","1","2","1","3","2","1","1","4","4","2","1","1","2","3","2","4","3","3","4","6","7","2","1","1","1","1","3","1","5","4","45","1","1","2","5","United States","5","network administrator","1","3","1","40","90","90","60","40","50","80","90","70","70","80","90"
"84",854,"1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","11","5","4","8","5","5","3","3","3","3","3","3","4","2",330,150,120,240,150,150,730,"2","2","3","2","2","3","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","4","4","3","4","4","4","3","2","3","2","3","3","2","3","2","3","2","3","3","4","4","3","4","4","2","4","4","4","4","4","4","4","4","4","5","5","4","5","4","5","5","5","4","3","4","5","3","3","4","5","5","5","4","4","5","4","4","4","4","4","5","4","4","5","5","5","5","6","4","5","5","4","3","4","4","3","3","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","3","1","4","2","2","6","4","4","4","1","1","1","1","3","1","3","2","49","2","2","2","5","American","6","homemaker","1","3","2","0","50","90","93","5","52","64","64","49","50","84","81"
"85",720,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","1","1","1","2","11","5","11","5","1","1","3","3","2","2","1","1","3","11",330,150,77,35,1,1,330,"4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","3","3","3","3","2","2","3","2","6","4","5","5","3","3","4","3","4","3","1","1","3","3","1","4","3","1","2","2","5","4","1","1","4","4","4","3","3","5","3","5","1","1","5","5","6","4","5","6","5","4","5","4","3","1","4","6","3","5","3","6","6","2","6","2","1","6","3","3","6","2","2","6","3","4","6","2","1","6","2","3","2","4","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","6","1","1","7","1","2","6","1","1","1","1","3","1","3","1","37","1","1","2","2","USA","5","Analyst","1","3","1","69","81","32","0","0","100","100","100","51","100","100","100"
"86",789,"1","1","1","1","2","1","1","1","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","2","4","7","2","2","7","2","3","3","3","4","3","2","4","2",120,210,60,730,210,14,730,"3","1","5","3","3","7","3","3","5","2","3","1","3","2","1","2","1","3","2","2","2","3","4","3","4","4","6","3","5","5","4","5","4","3","3","5","5","3","5","4","4","4","2","2","2","1","5","6","4","1","2","6","5","3","6","1","3","6","3","3","2","6","6","3","3","4","1","5","5","3","3","1","1","1","4","5","1","3","2","1","1","5","2","6","2","1","4","3","1","3","1","1","5","2","2","5","2","4","3","1","2","3","3","1","4","7","1","2","4","3","1","1","1","1","1","1","1","4","4","4","5","3","1","1","1","1","1","1","4","2","3","3","1","3","1","1","7","5","5","1","2","2","6","1","3","7","1","3","4","3","1","40","1","2","2","5","American","3","customer service representative","4","1","3","100","70","15","5","85","0","50","20","90","50","70","50"
"87",929,"1","1","1","1","2","2","1","2","2","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","1","1","1","2","11","2","2","11","16","6","3","4","4","2","1","1","4","3",330,730,730,77,16,6,1095,"3","1","1","2","2","2","4","2","2","3","3","3","2","2","1","3","1","2","2","2","3","2","2","2","4","3","6","1","4","4","2","4","3","1","2","3","3","4","4","2","5","3","2","4","6","1","3","4","2","4","6","6","4","3","4","5","6","4","1","4","5","6","6","5","4","5","5","1","3","2","4","5","4","4","4","5","4","5","5","2","4","4","2","4","5","4","5","4","2","3","4","4","5","2","2","1","4","1","2","3","2","2","2","1","1","1","1","1","1","1","3","4","4","3","2","3","2","2","4","3","2","2","1","1","1","1","1","1","3","2","2","2","2","2","1","1","6","2","2","6","4","5","5","1","1","3","1","3","1","6","2","57","1","1","2","5","Caucasian","5","pharmacist","1","3","1","8","81","66","79","35","98","65","68","80","41","72","48"
"88",889,"1","1","2","2","2","2","1","2","2","1","2","2","1","1","2","2","2","1","1","2","1","2","1","2","1","2","1","2","6","7","3","7","5","3","3","3","3","3","3","3","3","7",180,210,90,210,150,90,210,"3","1","3","2","1","3","1","1","4","3","3","2","3","2","1","1","1","2","3","2","2","4","2","2","4","4","4","2","2","3","1","2","1","1","2","2","2","1","2","1","5","5","1","1","2","1","4","4","2","2","3","5","6","2","4","1","5","6","2","2","2","6","6","4","3","1","2","4","3","2","3","1","2","3","4","6","1","4","2","1","3","4","5","2","3","1","4","3","6","4","3","1","2","2","2","4","2","4","4","4","3","4","4","3","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","2","2","1","1","1","3","1","2","1","2","2","2","3","1","3","1","1","5","3","2","5","1","2","5","1","1","1","1","3","1","6","1","34","2","2","2","5","US American ","4","Realtor","5","1","1","84","40","47","4","73","57","8","7","75","41","47","5"
"89",682,"1","1","2","2","2","2","1","2","2","1","1","2","1","1","2","1","1","1","2","2","1","2","1","2","1","2","1","2","7","11","3","7","7","5","3","3","3","3","3","3","4","2",210,330,90,210,210,150,730,"1","1","1","1","1","1","2","2","2","3","3","3","2","2","2","3","1","2","2","2","2","6","6","6","4","6","1","5","1","1","1","4","1","1","1","4","1","1","3","1","5","6","2","2","2","1","4","4","2","2","2","5","6","2","4","2","6","6","1","1","2","6","6","2","1","1","2","6","6","5","1","1","1","1","3","1","1","1","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","1","4","5","5","1","4","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","2","1","1","1","1","7","1","1","7","1","1","7","1","1","1","1","3","1","5","4","25","3","1","1","5","American","5","Lab Technician","5","1","1","100","25","25","50","100","0","50","50","50","70","50","50"
